year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral
"2,018",March 27,Friendly,Russia,France,"1,693","1,975",1,3,in Russia,0
"2,018",March 27,Friendly,Serbia,Nigeria,"1,758","1,715",2,0,in England,1
"2,018",March 27,Friendly,Seychelles,Swaziland,940,"1,296",0,0,in the Seychelles,0
"2,018",March 27,Friendly,Slovenia,Belarus,"1,629","1,507",0,2,in Slovenia,0
"2,018",March 27,Friendly,Spain,Argentina,"2,036","1,996",6,1,in Spain,0
"2,018",March 27,Friendly,Switzerland,Panama,"1,873","1,668",6,0,in Switzerland,0
"2,018",March 27,Asian Cup qualifier,Taiwan,Singapore,977,"1,062",1,0,in Taiwan,0
"2,018",March 27,Friendly,Tanzania,Democratic Republic of Congo,"1,296","1,606",2,0,in Tanzania,0
"2,018",March 27,Friendly,Costa Rica,Tunisia,"1,757","1,635",0,1,in France,1
"2,018",March 27,Friendly,Uganda,Malawi,"1,463","1,304",0,0,in Uganda,0
"2,018",March 27,Friendly,Ukraine,Japan,"1,733","1,701",2,1,in Belgium,1
"2,018",March 27,Friendly,United States,Paraguay,"1,747","1,753",1,0,in the United States,0
"2,018",March 27,Asian Cup qualifier,Yemen,Nepal,"1,188",902,2,1,in Qatar,1
"2,018",April 1,Friendly,Antigua and Barbuda,Dominica,"1,219","1,004",0,0,in Antigua and Barbuda,0
"2,018",April 1,Friendly,Malaysia,Bhutan,"1,051",585,7,0,in Malaysia,0
"2,018",April 17,Friendly,Trinidad and Tobago,Panama,"1,430","1,662",0,1,in Trinidad and Tobago,0
"2,018",April 18,Friendly,Zimbabwe,Botswana,"1,468","1,261",0,1,in Zimbabwe,0
"2,018",April 19,Friendly,Eswatini,Namibia,"1,290","1,382",1,0,in Eswatini,0
"2,018",April 26,Friendly,Saint Kitts and Nevis,Jamaica,"1,248","1,561",1,3,in Saint Kitts and Nevis,0
"2,018",April 29,Friendly,Antigua and Barbuda,Jamaica,"1,212","1,568",0,2,in Antigua and Barbuda,0
"2,018",April 29,Friendly,Saint Barthélemy,Saint Martin,695,867,3,1,in Saint Barthélemy,0
"2,018",May 8,Friendly,Iraq,Palestine,"1,557","1,395",0,0,in Iraq,0
"2,018",May 9,Friendly,Saudi Arabia,Algeria,"1,561","1,538",2,0,in Spain,1
"2,018",May 11,Friendly,Kuwait,Palestine,"1,405","1,401",2,0,in Kuwait,0
"2,018",May 15,Friendly,Greece,Saudi Arabia,"1,664","1,575",0,2,in Spain,1
"2,018",May 19,Friendly,Iran,Uzbekistan,"1,794","1,606",1,0,in Iran,0
"2,018",May 20,Friendly,Jordan,Cyprus,"1,465","1,413",3,0,in Jordan,0
"2,018",May 25,Friendly,Kenya,Eswatini,"1,376","1,300",0,1,in Kenya,0
"2,018",May 25,Friendly,Kuwait,Egypt,"1,416","1,645",1,1,in Kuwait,0
"2,018",May 26,Friendly,China,Myanmar,"1,520","1,069",1,0,in China,0
"2,018",May 26,Friendly,Saint Barthélemy,Sint Maarten,713,887,5,3,in Saint Barthélemy,0
"2,018",May 27,Friendly,Cameroon,Burkina Faso,"1,655","1,587",0,1,in France,1
"2,018",May 27,COSAFA Cup,Comoros,Seychelles,"1,049",946,1,1,in South Africa,1
"2,018",May 27,COSAFA Cup,Madagascar,Mozambique,"1,358","1,315",2,1,in South Africa,1
"2,018",May 27,Friendly tournament,Niger,Central African Republic,"1,296","1,312",3,3,in Niger,0
"2,018",May 28,Friendly,Bosnia and Herzegovina,Montenegro,"1,730","1,611",0,0,in Bosnia and Herzegovina,0
"2,018",May 28,COSAFA Cup,Botswana,Angola,"1,278","1,261",2,1,in South Africa,1
"2,018",May 28,Friendly,France,Ireland,"1,983","1,723",2,0,in France,0
"2,018",May 28,Friendly,Italy,Saudi Arabia,"1,898","1,594",2,1,in Switzerland,1
"2,018",May 28,Friendly,Kenya,Equatorial Guinea,"1,361","1,332",1,0,in Kenya,0
"2,018",May 28,COSAFA Cup,Malawi,Mauritius,"1,310","1,075",0,1,in South Africa,1
"2,018",May 28,Friendly,Mexico,Wales,"1,859","1,775",0,0,in the United States,1
"2,018",May 28,Friendly,Nigeria,Democratic Republic of Congo,"1,702","1,583",1,1,in Nigeria,0
"2,018",May 28,Friendly,Portugal,Tunisia,"1,974","1,648",2,2,in Portugal,0
"2,018",May 28,Friendly,South Korea,Honduras,"1,744","1,610",2,0,in South Korea,0
"2,018",May 28,Friendly,Turkey,Iran,"1,720","1,797",2,1,in Turkey,0
"2,018",May 28,Friendly,United States,Bolivia,"1,754","1,682",3,0,in the United States,0
"2,018",May 29,Friendly,Argentina,Haiti,"1,984","1,493",4,0,in Argentina,0
"2,018",May 29,Friendly,Armenia,Malta,"1,464","1,202",1,1,in Austria,1
"2,018",May 29,Friendly,Azerbaijan,Kyrgyzstan,"1,392","1,244",3,0,in Azerbaijan,0
"2,018",May 29,Friendly,Albania,Kosovo,"1,596","1,404",0,3,in Switzerland,1
"2,018",May 29,COSAFA Cup,Madagascar,Seychelles,"1,376",952,1,1,in South Africa,1
"2,018",May 29,COSAFA Cup,Mozambique,Comoros,"1,297","1,043",3,0,in South Africa,1
"2,018",May 29,Friendly,Panama,Northern Ireland,"1,668","1,684",0,0,in Panama,0
"2,018",May 29,Friendly,Peru,Scotland,"1,907","1,719",2,0,in Peru,0
"2,018",May 30,COSAFA Cup,Angola,Mauritius,"1,242","1,107",1,0,in South Africa,1
"2,018",May 30,Friendly,Austria,Russia,"1,725","1,685",1,0,in Austria,0
"2,018",May 30,COSAFA Cup,Botswana,Malawi,"1,297","1,278",1,1,in South Africa,1
"2,018",May 30,Friendly tournament,Uganda,Central African Republic,"1,457","1,316",0,1,in Niger,1
"2,018",May 30,Baltic Cup,Estonia,Lithuania,"1,505","1,412",2,0,in Estonia,0
"2,018",May 30,Friendly,Japan,Ghana,"1,692","1,617",0,2,in Japan,0
"2,018",May 31,Friendly,Luxembourg,Senegal,"1,325","1,747",0,0,in Luxembourg,0
"2,018",May 31,COSAFA Cup,Madagascar,Comoros,"1,359","1,030",1,0,in South Africa,1
"2,018",May 31,Friendly,Ukraine,Morocco,"1,742","1,711",0,0,in Switzerland,1
"2,018",May 31,COSAFA Cup,Mozambique,Seychelles,"1,310",969,2,1,in South Africa,1
"2,018",May 31,Friendly,Chile,Romania,"1,874","1,706",2,3,in Austria,1
"2,018",May 31,Friendly,Slovakia,Netherlands,"1,762","1,906",1,1,in Slovakia,0
"2,018",June 1,Friendly,Algeria,Cape Verde,"1,524","1,429",2,3,in Algeria,0
"2,018",June 1,COSAFA Cup,Malawi,Angola,"1,279","1,255",0,0,in South Africa,1
"2,018",June 1,Friendly,Czechia,Australia,"1,722","1,713",0,4,in Austria,1
"2,018",June 1,COSAFA Cup,Botswana,Mauritius,"1,296","1,094",6,0,in South Africa,1
"2,018",June 1,Friendly,Colombia,Egypt,"1,934","1,641",0,0,in Italy,1
"2,018",June 1,Friendly,France,Italy,"1,986","1,901",3,1,in France,0
"2,018",June 1,Friendly,Georgia,Malta,"1,504","1,208",1,0,in Austria,1
"2,018",June 1,Friendly tournament,India,Taiwan,"1,149",996,5,0,in India,0
"2,018",June 1,Friendly,South Korea,Bosnia and Herzegovina,"1,750","1,724",1,3,in South Korea,0
"2,018",June 1,Friendly,Turkey,Tunisia,"1,729","1,656",2,2,in Switzerland,1
"2,018",June 2,Friendly,Austria,Germany,"1,731","2,092",2,1,in Austria,0
"2,018",June 2,Friendly,Belgium,Portugal,"1,930","1,966",0,0,in Belgium,0
"2,018",June 2,Friendly,Honduras,El Salvador,"1,604","1,457",0,1,in the United States,1
"2,018",June 2,Friendly,England,Nigeria,"1,941","1,696",2,1,in England,0
"2,018",June 2,Friendly,Iceland,Norway,"1,788","1,614",2,3,in Iceland,0
"2,018",June 2,Friendly,Ireland,United States,"1,720","1,763",2,1,in Ireland,0
"2,018",June 2,Friendly tournament,New Zealand,Kenya,"1,514","1,367",1,2,in India,1
"2,018",June 2,Baltic Cup,Latvia,Estonia,"1,343","1,516",1,0,in Latvia,0
"2,018",June 2,COSAFA Cup,Eswatini,Lesotho,"1,315","1,258",0,1,in South Africa,1
"2,018",June 2,Friendly,Mexico,Scotland,"1,857","1,714",1,0,in Mexico,0
"2,018",June 2,Friendly,Montenegro,Slovenia,"1,617","1,606",0,2,in Montenegro,0
"2,018",June 2,COSAFA Cup,Zambia,Namibia,"1,470","1,372",0,0,in South Africa,1
"2,018",June 2,Friendly tournament,Niger,Uganda,"1,292","1,436",2,1,in Niger,0
"2,018",June 2,World Football Cup,Northern Cyprus,Tibet,"1,456",631,3,1,in England,1
"2,018",June 2,Friendly,Sweden,Denmark,"1,796","1,843",0,0,in Sweden,0
"2,018",June 2,Friendly,Thailand,China,"1,396","1,521",0,2,in Thailand,0
"2,018",June 3,Friendly,Cape Verde,Andorra,"1,444","1,026",0,0,in Portugal,1
"2,018",June 3,Friendly,Barbados,Belize,"1,136","1,169",0,0,in Barbados,0
"2,018",June 3,COSAFA Cup,Zimbabwe,Botswana,"1,451","1,316",1,1,in South Africa,1
"2,018",June 3,Friendly,Brazil,Croatia,"2,130","1,853",2,0,in England,1
"2,018",June 3,Friendly,Costa Rica,Northern Ireland,"1,744","1,686",3,0,in Costa Rica,0
"2,018",June 3,Friendly,Peru,Saudi Arabia,"1,912","1,591",3,0,in Switzerland,1
"2,018",June 3,COSAFA Cup,South Africa,Madagascar,"1,560","1,364",0,0,in South Africa,0
"2,018",June 3,Friendly,Spain,Switzerland,"2,048","1,879",1,1,in Spain,0
"2,018",June 3,Friendly,Ukraine,Albania,"1,741","1,570",4,1,in France,1
"2,018",June 4,Friendly,Armenia,Moldova,"1,458","1,324",0,0,in Austria,1
"2,018",June 4,Friendly,Chile,Serbia,"1,860","1,771",1,0,in Austria,1
"2,018",June 4,Friendly tournament,India,Kenya,"1,160","1,388",3,0,in India,0
"2,018",June 4,Friendly,Italy,Netherlands,"1,893","1,905",1,1,in Italy,0
"2,018",June 4,Friendly,Slovakia,Morocco,"1,763","1,712",1,2,in Switzerland,1
"2,018",June 5,COSAFA Cup,Botswana,Eswatini,"1,323","1,292",2,0,in South Africa,1
"2,018",June 5,Friendly,Kazakhstan,Azerbaijan,"1,354","1,399",3,0,in Kazakhstan,0
